playerID,name,position,age,PER,usage%,gp,yr,draftyr
arizipa01,Paul Arizin,SMALL FORWARD,23,25.5,0.0,66,1952,1952
cliftna01,Nat Clifton,POWER FORWARD,29,16.4,0.0,62,1952,1952
colemja01,Jack Coleman,POWER FORWARD,30,18.2,0.0,72,1955,1952
cousybo01,Bob Cousy,POINT GUARD,24,21.7,0.0,71,1953,1952
foustla01,Larry Foust,CENTER,27,23.8,0.0,72,1956,1952
gallaha01,Harry Gallatin,POWER FORWARD,26,24.1,0.0,72,1954,1952
grabojo01,Joe Graboski,CENTER,22,17.3,0.0,66,1952,1952
hannual01,Alex Hannum,POWER FORWARD,29,9.6,0.0,68,1953,1952
harribo02,Bob Harrison,SHOOTING GUARD,25,10.5,0.0,70,1953,1952
hitchle01,Lew Hitch,POWER FORWARD,24,14.9,0.0,72,1954,1952
hutchme01,Mel Hutchins,CENTER,24,17.3,0.0,71,1953,1952
johnsne01,Neil Johnston,CENTER,27,26.6,0.0,69,1957,1952
kingge01,George King,POINT GUARD,23,16.6,0.0,66,1952,1952
macaued01,Ed Macauley,CENTER,24,24.3,0.0,69,1953,1952
martisl01,Slater Martin,POINT GUARD,29,14.1,0.0,72,1955,1952
mcguidi01,Dick McGuire,POINT GUARD,26,18.9,0.0,64,1952,1952
mikkeve01,Vern Mikkelsen,POWER FORWARD,23,21.9,0.0,66,1952,1952
phillan01,Andy Phillip,POINT GUARD,31,16.0,0.0,71,1954,1952
risenar01,Arnie Risen,CENTER,27,20.6,0.0,66,1952,1952
schaydo01,Dolph Schayes,POWER FORWARD,24,25.4,0.0,71,1953,1952
seymopa01,Paul Seymour,SHOOTING GUARD,26,16.2,0.0,71,1954,1952
sharech01,Chuck Share,CENTER,27,22.0,0.0,69,1955,1952
sharmbi01,Bill Sharman,SHOOTING GUARD,26,19.8,0.0,71,1953,1952
skoogwh01,Whitey Skoog,SHOOTING GUARD,29,11.9,0.0,72,1956,1953
spearod01,Odie Spears,SMALL FORWARD,28,17.2,0.0,62,1953,1952
wanzebo01,Bobby Wanzer,SHOOTING GUARD,30,19.9,0.0,66,1952,1952
braunca01,Carl Braun,SHOOTING GUARD,26,17.8,0.0,72,1954,1953
conlege01,Gene Conley,POWER FORWARD,30,11.0,0.0,75,1961,1959
lloydea01,Earl Lloyd,SMALL FORWARD,25,12.4,0.0,72,1954,1953
mcmahja01,Jack McMahon,POINT GUARD,25,14.9,0.0,71,1954,1953
nichoja01,Jack Nichols,POWER FORWARD,26,16.8,0.0,69,1953,1953
becker01,Ernie Beck,SHOOTING GUARD,26,12.7,0.0,71,1958,1956
felixra01,Ray Felix,CENTER,23,22.9,0.0,72,1954,1954
georgja01,Jack George,POINT GUARD,27,13.6,0.0,72,1956,1954
kenvibi01,Billy Kenville,POINT GUARD,25,16.0,0.0,72,1956,1954
lovelcl01,Clyde Lovellette,CENTER,26,23.5,0.0,71,1956,1954
yardlge01,George Yardley,SMALL FORWARD,29,23.3,0.0,72,1958,1954
costela01,Larry Costello,POINT GUARD,29,17.2,0.0,75,1961,1957
kerrre01,Red Kerr,CENTER,26,19.4,0.0,72,1959,1955
palazto01,Togo Palazzi,SMALL FORWARD,25,15.8,0.0,67,1958,1955
pettibo01,Bob Pettit,POWER FORWARD,26,28.2,0.0,72,1959,1955
ramsefr01,Frank Ramsey,SHOOTING GUARD,26,19.5,0.0,69,1958,1955
selvyfr01,Frank Selvy,SHOOTING GUARD,26,13.8,0.0,68,1959,1959
shuege01,Gene Shue,POINT GUARD,29,15.9,0.0,78,1961,1955
conlied01,Ed Conlin,SMALL FORWARD,24,15.8,0.0,60,1958,1956
dukeswa01,Walter Dukes,CENTER,30,16.3,0.0,73,1961,1956
ferraal01,Al Ferrari,SHOOTING GUARD,26,11.2,0.0,71,1960,1956
garmadi01,Dick Garmaker,SHOOTING GUARD,24,16.6,0.0,72,1957,1956
golato01,Tom Gola,SHOOTING GUARD,25,18.3,0.0,59,1958,1956
loscuji01,Jim Loscutoff,SMALL FORWARD,25,12.7,0.0,71,1956,1956
noblech01,Chuck Noble,SHOOTING GUARD,25,10.9,0.0,54,1957,1956
searske01,Kenny Sears,POWER FORWARD,25,22.6,0.0,71,1959,1956
twymaja01,Jack Twyman,SMALL FORWARD,24,21.3,0.0,72,1959,1956
biancal01,Al Bianchi,SHOOTING GUARD,30,12.5,0.0,61,1963,1957
greensi01,Si Green,POINT GUARD,30,11.6,0.0,75,1964,1959
gueriri01,Richie Guerin,SHOOTING GUARD,31,24.3,0.0,80,1964,1957
hagancl01,Cliff Hagan,SMALL FORWARD,27,22.7,0.0,72,1959,1957
heinsto01,Tom Heinsohn,POWER FORWARD,27,20.0,0.0,79,1962,1957
jordoph01,Phil Jordon,POWER FORWARD,25,16.8,0.0,72,1959,1958
leonasl01,Slick Leonard,POINT GUARD,29,12.2,0.0,70,1962,1957
mccarjo01,Johnny McCarthy,POINT GUARD,24,10.5,0.0,47,1959,1957
